Navigated to http://localhost:8080/
8080.js:1906 Processing OpCode: 0
8080.js:85 	NOP
8080.js:1906 Processing OpCode: 0
8080.js:85 	NOP
8080.js:1906 Processing OpCode: 0
8080.js:85 	NOP
8080.js:1906 Processing OpCode: c3
8080.js:1906 Processing OpCode: 31
8080.js:1906 Processing OpCode: 6
8080.js:1906 Processing OpCode: cd
8080.js:1906 Processing OpCode: 11
8080.js:1906 Processing OpCode: 21
8080.js:1906 Processing OpCode: c3
8080.js:1906 Processing OpCode: 1a
8080.js:1906 Processing OpCode: 77
8080.js:1906 Processing OpCode: 23
8080.js:1906 Processing OpCode: 13
8080.js:1906 Processing OpCode: 5
8080.js:1906 Processing OpCode: c2
8080.js:1906 Processing OpCode: 1a
8080.js:1906 Processing OpCode: 77
8080.js:1906 Processing OpCode: 23
8080.js:1906 Processing OpCode: 13
8080.js:1906 Processing OpCode: 5
8080.js:1906 Processing OpCode: c2
8080.js:1906 Processing OpCode: 1a
8080.js:1906 Processing OpCode: 77
8080.js:1906 Processing OpCode: 23
8080.js:1906 Processing OpCode: 13
8080.js:1906 Processing OpCode: 5
8080.js:1906 Processing OpCode: c2
8080.js:1906 Processing OpCode: 1a
8080.js:1906 Processing OpCode: 77
8080.js:1906 Processing OpCode: 23
8080.js:1906 Processing OpCode: 13
8080.js:1906 Processing OpCode: 5
8080.js:1906 Processing OpCode: c2
8080.js:1906 Processing OpCode: 1a
8080.js:1906 Processing OpCode: 77
8080.js:1906 Processing OpCode: 23
8080.js:1906 Processing OpCode: 13
8080.js:1906 Processing OpCode: 5
8080.js:1906 Processing OpCode: c2
8080.js:1906 Processing OpCode: 1a
8080.js:1906 Processing OpCode: 77
8080.js:1906 Processing OpCode: 23
8080.js:1906 Processing OpCode: 13
8080.js:1906 Processing OpCode: 5
8080.js:1906 Processing OpCode: c2
8080.js:1906 Processing OpCode: 1a
8080.js:1906 Processing OpCode: 77
8080.js:1906 Processing OpCode: 23
8080.js:1906 Processing OpCode: 13
8080.js:1906 Processing OpCode: 5
8080.js:1906 Processing OpCode: c2
8080.js:1906 Processing OpCode: 1a
8080.js:1906 Processing OpCode: 77
8080.js:1906 Processing OpCode: 23
8080.js:1906 Processing OpCode: 13
8080.js:1906 Processing OpCode: 5
8080.js:1906 Processing OpCode: c2
8080.js:1906 Processing OpCode: 1a
8080.js:1906 Processing OpCode: 77
8080.js:1906 Processing OpCode: 23
8080.js:1906 Processing OpCode: 13
8080.js:1906 Processing OpCode: 5
8080.js:1906 Processing OpCode: c2
8080.js:1906 Processing OpCode: 1a
8080.js:1906 Processing OpCode: 77
8080.js:1906 Processing OpCode: 23
8080.js:1906 Processing OpCode: 13
8080.js:1906 Processing OpCode: 5
8080.js:1906 Processing OpCode: c2
8080.js:1906 Processing OpCode: 1a
8080.js:1906 Processing OpCode: 77
8080.js:1906 Processing OpCode: 23
8080.js:1906 Processing OpCode: 13
8080.js:1906 Processing OpCode: 5
8080.js:1906 Processing OpCode: c2
8080.js:1906 Processing OpCode: 1a
8080.js:1906 Processing OpCode: 77
8080.js:1906 Processing OpCode: 23
8080.js:1906 Processing OpCode: 13
8080.js:1906 Processing OpCode: 5
8080.js:1906 Processing OpCode: c2
8080.js:1906 Processing OpCode: 1a
8080.js:1906 Processing OpCode: 77
8080.js:1906 Processing OpCode: 23
8080.js:1906 Processing OpCode: 13
8080.js:1906 Processing OpCode: 5
8080.js:1906 Processing OpCode: c2
8080.js:1906 Processing OpCode: 1a
8080.js:1906 Processing OpCode: 77
8080.js:1906 Processing OpCode: 23
8080.js:1906 Processing OpCode: 13
8080.js:1906 Processing OpCode: 5
8080.js:1906 Processing OpCode: c2
8080.js:1906 Processing OpCode: 1a
8080.js:1906 Processing OpCode: 77
8080.js:1906 Processing OpCode: 23
8080.js:1906 Processing OpCode: 13
8080.js:1906 Processing OpCode: 5
8080.js:1906 Processing OpCode: c2
8080.js:1906 Processing OpCode: 1a
